Aca f,Pollen
Aca s,House Dust Mite
Act c,Food
Act d,Food
Aed a,Other
Aln g,Pollen
Alt a,Mold
Ama r,Pollen
Amb a,Pollen
Amb p,Pollen
Amb t,Pollen
Ana c,Food
Ana o,Food
Ani s,Other
Ant o,Pollen
Api c,Venom
Api d,Venom
Api g,Food
Api m,Venom
Ara h,Food
Arc s,Food
Arg r,Animal
Art an,Pollen
Art ar,Pollen
Art fr,Food
Art v,Pollen
Asc l,Other
Asc s,Other
Asp f,Mold
Asp fl,Mold
Asp n,Mold
Asp o,Mold
Asp v,Mold
Aspa o,Food
Ber e,Food
Bet v,Pollen
Beta v,Food
Bla g,Cockroach
Blo t,House Dust Mite
Bom p,Venom
Bom t,Venom
Bomb m,Animal
Bos d,Food
Bra j,Food
Bra n,Pollen
Bra o,Food
Bra r,Food
Can f,Animal
Can s,Other
Cand a,Other
Cand b,Other
Cap a,Food
Car b,Pollen
Car i,Food
Cari p,Food
Cas s,Food
Cat r,Pollen
Cav p,Animal
Cha f,Animal
Cha o,Pollen
Che a,Pollen
Chi k,Other
Chi t,Other
Cho a,House Dust Mite
Cit l,Food
Cit r,Food
Cit s,Food
Citr l,Food
Cla c,Mold
Cla h,Mold
Clu h,Food
Coc n,Food
Cof a,Food
Cop c,Mold
Copt f,House Dust Mite
Cor a,Food
Cra c,Food
Cra g,Food
Cro p,Food
Cro s,Pollen
Cry j,Pollen
Cte f,Other
Cuc m,Food
Cup a,Pollen
Cup s,Pollen
Cur l,Mold
Cyn d,Pollen
Cyp c,Food
Dac g,Pollen
Dau c,Food
Den n,Other
Der f,House Dust Mite
Der m,House Dust Mite
Der p,House Dust Mite
Dol a,Venom
Dol m,Venom
Epi p,Mold
Equ a,Food
Equ c,Animal
Eri s,Food
Eur m,House Dust Mite
Fag e,Food
Fag s,Pollen
Fag t,Food
Fel d,Animal
Fes p,Pollen
For t,Other
Fra a,Food
Fra e,Pollen
Fus c,Mold
Fus p,Mold
Gad c,Food
Gad m,Food
Gal d,Food
Glo m,Other
Gly d,House Dust Mite
Gly m,Food
Hal l,Food
Hal m,Food
Har a,Other
Hel a,Food
Hel as,Food
Hev b,Latex
Hol l,Pollen
Hom a,Food
Hom s,Other
Hor v,Food
Hum j,Pollen
Jug n,Food
Jug r,Food
Jun a,Pollen
Jun o,Pollen
Jun s,Pollen
Jun v,Pollen
Koc s,Pollen
Lac s,Food
Lat c,Food
Len c,Food
Lep d,House Dust Mite
Lep s,Animal
Lep w,Food
Lig v,Pollen
Lip b,Other
Lit c,Pollen
Lit v,Pollen
Lol p,Pollen
Lup a,Food
Lup an,Food
Mac r,Food
Mal d,Food
Mala f,Mold
Mala s,Mold
Man e,Food
Mel l,Food
Mer a,Pollen
Mes a,Animal
Met e,Food
Mor n,Food
Mus a,Food
Mus m,Animal
Myr p,Other
Ole e,Pollen
Onc k,Food
Onc m,Food
Ore m,Food
Ory c,Animal
Ory s,Food
Ost c,Pollen
Pac c,Other
Pan b,Food
Pan s,Food
Par h,Pollen
Par j,Pollen
Par o,Pollen
Pas n,Pollen
Pen a,Food
Pen b,Mold
Pen c,Mold
Pen ch,Mold
Pen cr,Mold
Pen i,Food
Pen m,Food
Pen o,Mold
Per a,Cockroach
Pers a,Food
Pha a,Pollen
Pha v,Food
Phl p,Pollen
Pho d,Pollen
Phod s,Animal
Pin k,Food
Pin p,Food
Pis s,Food
Pis v,Food
Pla a,Pollen
Pla l,Pollen
Pla or,Pollen
Plo i,Other
Poa p,Pollen
Pol a,Venom
Pol d,Venom
Pol e,Venom
Pol f,Venom
Pol g,Venom
Pol m,Venom
Poly p,Venom
Poly s,Venom
Pon l,Food
Por p,Food
Pro j,Pollen
Pru ar,Food
Pru av,Food
Pru d,Food
Pru du,Food
Pru m,Food
Pru p,Food
Psi c,Mold
Pun g,Food
Pyr c,Food
Que a,Pollen
Ran e,Food
Ras k,Food
Rat n,Animal
Rhi o,Mold
Rho m,Other
Ric c,Food
Rub i,Food
Sac g,Food
Sal k,Pollen
Sal s,Food
Sar sa,Food
Sch c,Mold
Seb m,Food
Sec c,Food
Ses i,Food
Sin a,Food
Sol g,Venom
Sol i,Venom
Sol r,Venom
Sol s,Venom
Sola l,Food
Sola t,Food
Sor h,Pollen
Sta c,Mold
Sus s,Animal
Syr v,Pollen
Tab y,Other
Tha p,Other
Thu a,Food
Tod p,Food
Tri a,Food
Tri r,Mold
Tri t,Mold
Tri tu,Food
Tria p,Other
Trip s,Pollen
Tyr p,House Dust Mite
Ves f,Venom
Ves g,Venom
Ves m,Venom
Ves p,Venom
Ves s,Venom
Ves v,Venom
Ves vi,Venom
Vesp c,Venom
Vesp m,Venom
Vesp ma,Venom
Vig r,Food
Vit v,Food
Xip g,Food
Zea m,Food
Ziz m,Food
