         9281111 function calls (9273891 primitive calls) in 488.001 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       61    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1043(__import__)
     1140    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:119(release)
      593    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:159(__init__)
      593    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap>:163(__enter__)
      593    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:170(__exit__)
     1140    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
      633    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:190(cb)
      547    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap>:195(_lock_unlock_module)
    610/6    0.001    0.000    1.252    0.209 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
      408    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:225(_verbose_message)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:235(_requires_builtin_wrapper)
      409    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:310(__init__)
      409    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:314(__enter__)
      409    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:321(__exit__)
     1634    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:324(<genexpr>)
      354    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
      530    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(__init__)
      758    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:406(cached)
      409    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:419(parent)
      409    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:427(has_location)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:436(spec_from_loader)
      409    0.004    0.000    0.015    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
  409/405    0.002    0.000    0.466    0.001 <frozen importlib._bootstrap>:570(module_from_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:630(_load_backward_compatible)
    412/6    0.004    0.000    1.256    0.209 <frozen importlib._bootstrap>:659(_load_unlocked)
      527    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:716(find_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:737(create_module)
      633    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:74(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:745(exec_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:762(is_package)
      522    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:789(find_spec)
     1680    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:852(__enter__)
     1680    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:856(__exit__)
      109    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:870(_find_spec_legacy)
      527    0.008    0.000    0.151    0.000 <frozen importlib._bootstrap>:879(_find_spec)
      122    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:919(_sanity_check)
    593/6    0.004    0.000    1.263    0.211 <frozen importlib._bootstrap>:939(_find_and_load_unlocked)
     1140    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:94(acquire)
    593/6    0.005    0.000    1.264    0.211 <frozen importlib._bootstrap>:966(_find_and_load)
      122    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:972(_gcd_import)
2151/1234    0.003    0.000    0.467    0.000 <frozen importlib._bootstrap>:996(_handle_fromlist)
       49    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1047(_path_hooks)
      983    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1064(_path_importer_cache)
      522    0.004    0.000    0.137    0.000 <frozen importlib._bootstrap_external>:1101(_get_spec)
      522    0.001    0.000    0.138    0.000 <frozen importlib._bootstrap_external>:1133(find_spec)
       49    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1178(__init__)
      392    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1184(<genexpr>)
      404    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1210(_get_spec)
      873    0.014    0.000    0.121    0.000 <frozen importlib._bootstrap_external>:1215(find_spec)
       50    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1260(_fill_cache)
       50    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1289(<setcomp>)
       49    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1301(path_hook_for_FileFinder)
      708    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:246(cache_from_source)
      873    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:30(_relax_case)
      404    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:342(_get_cached)
     4411    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:366(_verbose_message)
      354    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:382(_check_name_wrapper)
      354    0.008    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:419(_validate_bytecode_header)
      708    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:45(_r_long)
      354    0.002    0.000    0.096    0.000 <frozen importlib._bootstrap_external>:474(_compile_bytecode)
     4571    0.007    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:50(_path_join)
      404    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:513(spec_from_file_location)
     4571    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:52(<listcomp>)
      708    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:56(_path_split)
      354    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:656(create_module)
    354/6    0.003    0.000    1.256    0.209 <frozen importlib._bootstrap_external>:659(exec_module)
     1836    0.002    0.000    0.072    0.000 <frozen importlib._bootstrap_external>:68(_path_stat)
      354    0.006    0.000    0.331    0.001 <frozen importlib._bootstrap_external>:729(get_code)
      609    0.001    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:78(_path_is_mode_type)
      354    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:786(__init__)
      354    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:811(get_filename)
      354    0.017    0.000    0.208    0.001 <frozen importlib._bootstrap_external>:816(get_data)
      354    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:826(path_stats)
      560    0.001    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:87(_path_isfile)
       50    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:892(__init__)
    50/47    0.000    0.000    0.448    0.010 <frozen importlib._bootstrap_external>:903(create_module)
       50    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:911(exec_module)
       49    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:92(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
       46    0.000    0.000    0.000    0.000 <string>:12(__new__)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(Arguments)
        1    0.000    0.000    0.000    0.000 <string>:5(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:5(Boxplot)
        1    0.000    0.000    0.000    0.000 <string>:5(ClosureVars)
        1    0.000    0.000    0.000    0.000 <string>:5(Components)
        1    0.000    0.000    0.000    0.000 <string>:5(DecimalTuple)
        1    0.000    0.000    0.000    0.000 <string>:5(DefaultVerifyPaths)
        1    0.000    0.000    0.000    0.000 <string>:5(DefragResult)
        1    0.000    0.000    0.000    0.000 <string>:5(DeprecatedOption)
        1    0.000    0.000    0.000    0.000 <string>:5(ExtType)
        1    0.000    0.000    0.000    0.000 <string>:5(FrameInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(FullArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(Match)
        1    0.000    0.000    0.000    0.000 <string>:5(Mismatch)
        1    0.000    0.000    0.000    0.000 <string>:5(ModuleInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(ParseResult)
        1    0.000    0.000    0.000    0.000 <string>:5(RegisteredOption)
        1    0.000    0.000    0.000    0.000 <string>:5(SelectorKey)
        1    0.000    0.000    0.000    0.000 <string>:5(SplitResult)
        1    0.000    0.000    0.000    0.000 <string>:5(TokenInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(Traceback)
        1    0.000    0.000    0.000    0.000 <string>:5(_ASN1Object)
        1    0.000    0.000    0.000    0.000 <string>:5(_Instruction)
        1    0.000    0.000    0.000    0.000 <string>:5(_LoggingWatcher)
        1    0.000    0.000    0.000    0.000 <string>:5(uname_result)
        1    0.000    0.000    0.000    0.000 <string>:5(usage)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:78(_Feature)
        9    0.000    0.000    0.000    0.000 __future__.py:79(__init__)
       26    0.001    0.000    0.398    0.015 __init__.py:1(<module>)
        1    0.000    0.000    0.007    0.007 __init__.py:10(<module>)
        1    0.001    0.001    0.093    0.093 __init__.py:101(<module>)
     3000    0.024    0.000    0.033    0.000 __init__.py:101(progress)
        1    0.000    0.000    0.011    0.011 __init__.py:1011(rc_params)
        1    0.000    0.000    0.000    0.000 __init__.py:1031(is_url)
        2    0.000    0.000    0.000    0.000 __init__.py:1042(_open_file_or_url)
        1    0.000    0.000    0.000    0.000 __init__.py:1050(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1056(__init__)
        1    0.000    0.000    0.247    0.247 __init__.py:106(<module>)
        1    0.002    0.002    0.002    0.002 __init__.py:1060(_rc_params_in_file)
        1    0.000    0.000    0.000    0.000 __init__.py:1074(PlaceHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:1116(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1121(__init__)
        1    0.000    0.000    0.008    0.008 __init__.py:1137(rc_params_from_file)
        1    0.000    0.000    0.000    0.000 __init__.py:1157(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:117(lrange)
        1    0.015    0.015    0.015    0.015 __init__.py:1200(<listcomp>)
   126919    0.050    0.000    0.095    0.000 __init__.py:122(unescape)
        1    0.000    0.000    0.000    0.000 __init__.py:1224(Logger)
        1    0.000    0.000    0.000    0.000 __init__.py:1239(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1314(rc_context)
        1    0.000    0.000    0.000    0.000 __init__.py:14(UnsupportedFunctionCall)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:1437(is_interactive)
        2    0.000    0.000    0.010    0.005 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:154(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:1542(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1548(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1556(LoggerAdapter)
        3    0.000    0.000    0.000    0.000 __init__.py:161(compare_versions)
        1    0.000    0.000    0.000    0.000 __init__.py:163(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:167(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:171(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:175(c_ulong)
       34    0.000    0.000    0.000    0.000 __init__.py:177(iteritems)
        2    0.000    0.000    0.000    0.000 __init__.py:182(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:183(itervalues)
        1    0.000    0.000    0.000    0.000 __init__.py:184(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:188(c_uint)
      372    0.000    0.000    0.000    0.000 __init__.py:189(bind_method)
       57    0.000    0.000    0.000    0.000 __init__.py:19(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:1902(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:192(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:195(UTC)
        1    0.000    0.000    0.000    0.000 __init__.py:196(c_double)
        2    0.000    0.000    0.001    0.001 __init__.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:20(UnsortedIndexError)
        1    0.000    0.000    0.000    0.000 __init__.py:200(c_longdouble)
        1    0.000    0.000    0.000    0.000 __init__.py:211(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:220(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:221(c_ubyte)
        1    0.000    0.000    0.003    0.003 __init__.py:228(_is_writable_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:228(c_byte)
        1    0.000    0.000    0.004    0.004 __init__.py:23(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:231(LogRecord)
        8    0.000    0.000    0.000    0.000 __init__.py:231(u)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_char)
       53    0.000    0.000    0.000    0.000 __init__.py:234(u_safe)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char_p)
        1    0.000    0.000    0.001    0.001 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:244(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:249(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:254(c_wchar_p)
       75    0.000    0.000    0.000    0.000 __init__.py:255(set_function_name)
        1    0.000    0.000    0.000    0.000 __init__.py:257(Verbose)
        1    0.000    0.000    0.000    0.000 __init__.py:259(c_wchar)
        1    0.000    0.000    0.031    0.031 __init__.py:26(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:263(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:27(Infinite)
        2    0.000    0.000    0.000    0.000 __init__.py:271(loads)
        1    0.000    0.000    0.000    0.000 __init__.py:281(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:285(set_level)
        1    0.000    0.000    0.000    0.000 __init__.py:292(_CountryTimezoneDict)
        1    0.000    0.000    0.000    0.000 __init__.py:296(set_fileo)
        6    0.000    0.000    0.179    0.030 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:30(ParserError)
        2    0.000    0.000    0.000    0.000 __init__.py:31(__init__)
       10    0.000    0.000    0.000    0.000 __init__.py:313(report)
        1    0.000    0.000    0.000    0.000 __init__.py:314(CDLL)
        4    0.000    0.000    0.000    0.000 __init__.py:324(wrap)
        1    0.000    0.000    0.000    0.000 __init__.py:327(add_metaclass)
        1    0.000    0.000    0.000    0.000 __init__.py:329(wrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:331(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:335(wrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:341(_FuncPtr)
       10    0.000    0.000    0.000    0.000 __init__.py:347(ge)
        1    0.000    0.000    0.000    0.000 __init__.py:350(_CountryNameDict)
       28    0.001    0.000    0.020    0.001 __init__.py:356(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:36(DtypeWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:370(PercentStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:370(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:375(_FixedOffset)
        1    0.000    0.000    0.000    0.000 __init__.py:376(OrderedDefaultdict)
        1    0.000    0.000    0.000    0.000 __init__.py:376(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:385(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:394(StringTemplateStyle)
     6000    0.027    0.000    0.047    0.000 __init__.py:40(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:406(is_platform_windows)
        1    0.000    0.000    0.008    0.008 __init__.py:41(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:410(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:411(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:418(Formatter)
      149    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
      149    0.000    0.000    0.000    0.000 __init__.py:421(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:44(EmptyDataError)
        2    0.000    0.000    0.032    0.016 __init__.py:45(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:455(checkdep_ps_distiller)
        1    0.000    0.000    0.000    0.000 __init__.py:462(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:475(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:476(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:496(checkdep_usetex)
        2    0.000    0.000    0.830    0.415 __init__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:5(HTTPStatus)
        1    0.000    0.000    0.000    0.000 __init__.py:51(ParserWarning)
     3000    0.044    0.000    0.068    0.000 __init__.py:53(update_avg)
        2    0.000    0.000    0.000    0.000 __init__.py:540(_get_home)
        1    0.000    0.000    0.000    0.000 __init__.py:591(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:597(_get_xdg_config_dir)
        1    0.000    0.000    0.003    0.003 __init__.py:625(_get_config_or_cache_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:633(Filter)
        1    0.000    0.000    0.003    0.003 __init__.py:660(_get_configdir)
     3000    0.081    0.000    0.706    0.000 __init__.py:67(next)
        1    0.000    0.000    0.000    0.000 __init__.py:670(Filterer)
        2    0.000    0.000    0.000    0.000 __init__.py:675(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:697(_decode_filesystem_path)
        1    0.000    0.000    0.035    0.035 __init__.py:7(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:704(_get_data_path)
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:742(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:747(_get_data_path_cached)
        1    0.000    0.000    0.000    0.000 __init__.py:752(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:761(__init__)
        1    0.000    0.000    0.003    0.003 __init__.py:781(matplotlib_fname)
        1    0.000    0.000    0.000    0.000 __init__.py:790(createLock)
        1    0.000    0.000    0.000    0.000 __init__.py:8(PerformanceWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:84(Progress)
        2    0.000    0.000    0.000    0.000 __init__.py:85(__init__)
        1    0.000    0.000    0.009    0.009 __init__.py:88(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:885(RcParams)
      287    0.000    0.000    0.000    0.000 __init__.py:894(<genexpr>)
        2    0.000    0.000    0.006    0.003 __init__.py:9(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:9(ExtType)
        3    0.000    0.000    0.009    0.003 __init__.py:905(__init__)
      576    0.001    0.000    0.009    0.000 __init__.py:909(__setitem__)
     5258    0.028    0.000    0.029    0.000 __init__.py:91(_replace_charref)
       10    0.000    0.000    0.000    0.000 __init__.py:934(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:937(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:962(update)
        1    0.000    0.000    0.006    0.006 __init__.py:97(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:988(FileHandler)
